Date,Open,High,Low,Close,Adj Close,Volume
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
22-10-2018,20.01,20.110001,19.67,19.799999,19.712698,65600
23-10-2018,19.6,19.85,19.200001,19.440001,19.354286,110100
24-10-2018,19.370001,19.549999,19.16,19.16,19.07552,74800
25-10-2018,19.23,19.51,19.139999,19.32,19.234814,90300
26-10-2018,19.120001,19.35,18.9,19.17,19.085476,101300
29-10-2018,19.290001,19.52,18.790001,18.889999,18.806709,68200
30-10-2018,18.91,19.120001,18.540001,18.870001,18.786798,254400
31-10-2018,19.110001,19.290001,18.889999,19.059999,18.97596,175300
01-11-2018,18.780001,18.780001,14.57,14.97,14.903995,822500
02-11-2018,15.02,15.42,14.9,15.34,15.272363,305000
05-11-2018,15.3,16.629999,15.3,15.73,15.660643,263000
06-11-2018,15.75,16.23,15.74,16.120001,16.048925,133600
07-11-2018,16.09,16.35,15.7,16.209999,16.138527,205300
08-11-2018,16.77,17.559999,16.73,17.01,16.934999,271700
09-11-2018,17.1,17.469999,16.950001,17.200001,17.200001,229800
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
22-10-2018,20.01,20.110001,19.67,19.799999,19.712698,65600
23-10-2018,19.6,19.85,19.200001,19.440001,19.354286,110100
24-10-2018,19.370001,19.549999,19.16,19.16,19.07552,74800
25-10-2018,19.23,19.51,19.139999,19.32,19.234814,90300
26-10-2018,19.120001,19.35,18.9,19.17,19.085476,101300
29-10-2018,19.290001,19.52,18.790001,18.889999,18.806709,68200
30-10-2018,18.91,19.120001,18.540001,18.870001,18.786798,254400
31-10-2018,19.110001,19.290001,18.889999,19.059999,18.97596,175300
01-11-2018,18.780001,18.780001,14.57,14.97,14.903995,822500
02-11-2018,15.02,15.42,14.9,15.34,15.272363,305000
05-11-2018,15.3,16.629999,15.3,15.73,15.660643,263000
06-11-2018,15.75,16.23,15.74,16.120001,16.048925,133600
07-11-2018,16.09,16.35,15.7,16.209999,16.138527,205300
08-11-2018,16.77,17.559999,16.73,17.01,16.934999,271700
09-11-2018,17.1,17.469999,16.950001,17.200001,17.200001,229800
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
22-10-2018,20.01,20.110001,19.67,19.799999,19.712698,65600
23-10-2018,19.6,19.85,19.200001,19.440001,19.354286,110100
24-10-2018,19.370001,19.549999,19.16,19.16,19.07552,74800
25-10-2018,19.23,19.51,19.139999,19.32,19.234814,90300
26-10-2018,19.120001,19.35,18.9,19.17,19.085476,101300
29-10-2018,19.290001,19.52,18.790001,18.889999,18.806709,68200
30-10-2018,18.91,19.120001,18.540001,18.870001,18.786798,254400
31-10-2018,19.110001,19.290001,18.889999,19.059999,18.97596,175300
01-11-2018,18.780001,18.780001,14.57,14.97,14.903995,822500
02-11-2018,15.02,15.42,14.9,15.34,15.272363,305000
05-11-2018,15.3,16.629999,15.3,15.73,15.660643,263000
06-11-2018,15.75,16.23,15.74,16.120001,16.048925,133600
07-11-2018,16.09,16.35,15.7,16.209999,16.138527,205300
08-11-2018,16.77,17.559999,16.73,17.01,16.934999,271700
09-11-2018,17.1,17.469999,16.950001,17.200001,17.200001,229800
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
22-10-2018,20.01,20.110001,19.67,19.799999,19.712698,65600
23-10-2018,19.6,19.85,19.200001,19.440001,19.354286,110100
24-10-2018,19.370001,19.549999,19.16,19.16,19.07552,74800
25-10-2018,19.23,19.51,19.139999,19.32,19.234814,90300
26-10-2018,19.120001,19.35,18.9,19.17,19.085476,101300
29-10-2018,19.290001,19.52,18.790001,18.889999,18.806709,68200
30-10-2018,18.91,19.120001,18.540001,18.870001,18.786798,254400
31-10-2018,19.110001,19.290001,18.889999,19.059999,18.97596,175300
01-11-2018,18.780001,18.780001,14.57,14.97,14.903995,822500
02-11-2018,15.02,15.42,14.9,15.34,15.272363,305000
05-11-2018,15.3,16.629999,15.3,15.73,15.660643,263000
06-11-2018,15.75,16.23,15.74,16.120001,16.048925,133600
07-11-2018,16.09,16.35,15.7,16.209999,16.138527,205300
08-11-2018,16.77,17.559999,16.73,17.01,16.934999,271700
09-11-2018,17.1,17.469999,16.950001,17.200001,17.200001,229800
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
22-10-2018,20.01,20.110001,19.67,19.799999,19.712698,65600
23-10-2018,19.6,19.85,19.200001,19.440001,19.354286,110100
24-10-2018,19.370001,19.549999,19.16,19.16,19.07552,74800
25-10-2018,19.23,19.51,19.139999,19.32,19.234814,90300
26-10-2018,19.120001,19.35,18.9,19.17,19.085476,101300
29-10-2018,19.290001,19.52,18.790001,18.889999,18.806709,68200
30-10-2018,18.91,19.120001,18.540001,18.870001,18.786798,254400
31-10-2018,19.110001,19.290001,18.889999,19.059999,18.97596,175300
01-11-2018,18.780001,18.780001,14.57,14.97,14.903995,822500
02-11-2018,15.02,15.42,14.9,15.34,15.272363,305000
05-11-2018,15.3,16.629999,15.3,15.73,15.660643,263000
06-11-2018,15.75,16.23,15.74,16.120001,16.048925,133600
07-11-2018,16.09,16.35,15.7,16.209999,16.138527,205300
08-11-2018,16.77,17.559999,16.73,17.01,16.934999,271700
09-11-2018,17.1,17.469999,16.950001,17.200001,17.200001,229800
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
22-10-2018,20.01,20.110001,19.67,19.799999,19.712698,65600
23-10-2018,19.6,19.85,19.200001,19.440001,19.354286,110100
24-10-2018,19.370001,19.549999,19.16,19.16,19.07552,74800
25-10-2018,19.23,19.51,19.139999,19.32,19.234814,90300
26-10-2018,19.120001,19.35,18.9,19.17,19.085476,101300
29-10-2018,19.290001,19.52,18.790001,18.889999,18.806709,68200
30-10-2018,18.91,19.120001,18.540001,18.870001,18.786798,254400
31-10-2018,19.110001,19.290001,18.889999,19.059999,18.97596,175300
01-11-2018,18.780001,18.780001,14.57,14.97,14.903995,822500
02-11-2018,15.02,15.42,14.9,15.34,15.272363,305000
05-11-2018,15.3,16.629999,15.3,15.73,15.660643,263000
06-11-2018,15.75,16.23,15.74,16.120001,16.048925,133600
07-11-2018,16.09,16.35,15.7,16.209999,16.138527,205300
08-11-2018,16.77,17.559999,16.73,17.01,16.934999,271700
09-11-2018,17.1,17.469999,16.950001,17.200001,17.200001,229800
12-11-2018,17.059999,17.23,16.870001,17.049999,17.049999,146300
13-11-2018,16.9,17.33,16.9,16.92,16.92,139700
14-11-2018,16.969999,16.99,16.200001,16.290001,16.290001,216600
15-11-2018,16.24,16.530001,16.110001,16.48,16.48,115700
16-11-2018,16.389999,16.709999,16.32,16.610001,16.610001,93000
19-11-2018,16.549999,16.629999,16.129999,16.139999,16.139999,125400
